DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2020-09-01,"16","1","001",1717
2020-09-01,"16","2","001",1864
2020-09-01,"16","3","001",702
2020-09-01,"17","1","001",496
2020-09-01,"17","2","001",97
2020-09-01,"17","3","001",25
2020-10-01,"01","1","001",583
2020-10-01,"01","2","001",80
2020-10-01,"01","3","001",16
2020-10-01,"02","1","001",659
2020-10-01,"02","2","001",121
2020-10-01,"02","3","001",15
2020-10-01,"03","1","001",1040
2020-10-01,"03","2","001",664
2020-10-01,"03","3","001",158
2020-10-01,"04","1","001",643
2020-10-01,"04","2","001",116
2020-10-01,"04","3","001",25
2020-10-01,"05","1","001",743
2020-10-01,"05","2","001",271
2020-10-01,"05","3","001",83
2020-10-01,"06","1","001",362
2020-10-01,"06","2","001",1287
2020-10-01,"06","3","001",1386
2020-10-01,"07","1","001",842
2020-10-01,"07","2","001",616
2020-10-01,"07","3","001",174
2020-10-01,"08","1","001",303
2020-10-01,"08","2","001",86
2020-10-01,"08","3","001",10
2020-10-01,"09","1","001",172
2020-10-01,"09","2","001",16
2020-10-01,"09","3","001",5
2020-10-01,"11","1","001",296
2020-10-01,"11","2","001",23
2020-10-01,"11","3","001",1
2020-10-01,"12","1","001",1034
2020-10-01,"12","2","001",260
2020-10-01,"12","3","001",40
2020-10-01,"13","1","001",174
2020-10-01,"13","2","001",469
2020-10-01,"13","3","001",212
2020-10-01,"14","1","001",1049
2020-10-01,"14","2","001",628
2020-10-01,"14","3","001",127
2020-10-01,"15","1","001",1525
2020-10-01,"15","2","001",1236
2020-10-01,"15","3","001",448
2020-10-01,"16","1","001",1862
2020-10-01,"16","2","001",2052
2020-10-01,"16","3","001",745
2020-10-01,"17","1","001",533
2020-10-01,"17","2","001",139
2020-10-01,"17","3","001",31
2020-11-01,"01","1","001",469
2020-11-01,"01","2","001",73
2020-11-01,"01","3","001",9
2020-11-01,"02","1","001",554
2020-11-01,"02","2","001",102
2020-11-01,"02","3","001",12
2020-11-01,"03","1","001",906
2020-11-01,"03","2","001",597
2020-11-01,"03","3","001",151
2020-11-01,"04","1","001",592
2020-11-01,"04","2","001",87
2020-11-01,"04","3","001",32
2020-11-01,"05","1","001",686
2020-11-01,"05","2","001",233
2020-11-01,"05","3","001",63
2020-11-01,"06","1","001",341
2020-11-01,"06","2","001",1332
2020-11-01,"06","3","001",1449
2020-11-01,"07","1","001",707
2020-11-01,"07","2","001",582
2020-11-01,"07","3","001",139
2020-11-01,"08","1","001",236
2020-11-01,"08","2","001",87
